title;area;salary;experience;prog
Team Lead/Fullstack JS разработчик (удаленная работа);Москва;350000;Более 6 лет;javascript
Разработчик JavaScript (Node.js Back-end);Москва;0;От 3 до 6 лет;javascript
JavaScript fullstack developer;Санкт-Петербург;150000;От 1 года до 3 лет;javascript
Vue.js Front-end Разработчик;Волгоград;140000;Нет опыта;javascript
Программист - разработчик JavaScript;Ярославль;0;От 3 до 6 лет;javascript
Frontend Developer (JavaScript-разработчик);Калуга;200000;От 1 года до 3 лет;javascript
Программист Fullstack JavaScript;Москва;0;От 3 до 6 лет;javascript
Frontend разработчик (Vue.js);Иркутск;120000;От 3 до 6 лет;javascript
JavaScript Team Lead;Санкт-Петербург;170000;От 1 года до 3 лет;javascript
Middle Frontend-разработчик (Vue.js);Тюмень;100000;От 3 до 6 лет;javascript
Backend Node.js Developer;Москва;250000;От 1 года до 3 лет;javascript
Middle Node JS разработчик;Москва;160000;От 1 года до 3 лет;javascript
Ведущий Javascript разработчик;Ярославль;340000;От 3 до 6 лет;javascript
Middle Node js developer;Москва;250000;От 3 до 6 лет;javascript
Full-stack JavaScript разработчик;Санкт-Петербург;60000;От 1 года до 3 лет;javascript
Frontend разработчик (Vue.js);Москва;150000;От 3 до 6 лет;javascript
Программист JavaScript (стажер);Москва;0;От 1 года до 3 лет;javascript
Node.js developer;Рязань;130000;От 1 года до 3 лет;javascript
Middle Frontend-разработчик (Vue.js);Уфа;100000;От 3 до 6 лет;javascript
Middle JavaScript-developer;Псков;200000;От 3 до 6 лет;javascript
Junior+/Middle Frontend Developer (Vue.js);Новосибирск;150000;От 1 года до 3 лет;javascript
Middle React JS программист;Белгород;0;От 3 до 6 лет;javascript
JavaScript/ react developer full stack;Москва;180000;От 3 до 6 лет;javascript
JavaScript разработчик;Москва;0;От 1 года до 3 лет;javascript
Fullstack Node.js Developer;Москва;270000;От 3 до 6 лет;javascript
Fullstack разработчик, JS /wordpress;Москва;40000;От 1 года до 3 лет;javascript
Разработчик JavaScript (Vue), проект ItCrowd, Инструменты автоматизации;Москва;0;От 3 до 6 лет;javascript
Middle Backend Node.js разработчик;Москва;120000;От 3 до 6 лет;javascript
Fullstack-разработчик (C#/JavaScript);Тула;60000;От 3 до 6 лет;javascript
Senior JavaScript developer/Ведущий JavaScript разработчик;Москва;0;Более 6 лет;javascript
JavaScript разработчик;Рязань;0;От 1 года до 3 лет;javascript
Full Stack JavaScript Developer (Германия, Берлин);Москва;5380;От 3 до 6 лет;javascript
Frontend-разработчик (ReactNative, React.js);Москва;250000;От 1 года до 3 лет;javascript
Frontend разработчик (React.js);Саранск;0;От 1 года до 3 лет;javascript
Ведущий вебинаров Fullstack (HTML, CSS, JavaScript, PHP);Москва;25000;Нет опыта;javascript
FullStack web-разработчик (TypeScript/JavaScript/PHP);Новосибирск;0;От 1 года до 3 лет;javascript
Middle FullStack developer | Разработчик (PHP, JavaScript, MySQL);Москва;120000;От 1 года до 3 лет;javascript
Senior Frontend Developer / Ведущий разработчик JavaScript (Vue.js);Москва;0;Более 6 лет;javascript
Frontend-разработчик (vue.js);Кострома;55000;От 1 года до 3 лет;javascript
Vue.js Разработчик;Волгоград;0;От 1 года до 3 лет;javascript
Разработчик JavaScript / Frontend developer;Москва;0;От 1 года до 3 лет;javascript
Middle Node.js Developer, Удаленно;Нижний Новгород;150000;От 1 года до 3 лет;javascript
Senior full stack developer (PHP / Javascript);Москва;300000;От 3 до 6 лет;javascript
Разработчик JavaScript (Vue.js);Москва;0;От 3 до 6 лет;javascript
Программист JS;Ярославль;220000;От 1 года до 3 лет;javascript
Frontend разработчик Vue.js (Remote, Senior);Москва;220000;Более 6 лет;javascript
Frontend developer (Vue.js);Белгород;0;От 1 года до 3 лет;javascript
Senior developer TypeScript (JavaScript), Node.js, SQL (Remote / Удаленно);Москва;270000;От 3 до 6 лет;javascript
Node.js Developer;Новосибирск;0;От 1 года до 3 лет;javascript
Javascript-разработчик;Рыбинск;0;Нет опыта;javascript
Senior Fullstack Node.js specialist в хайлоад проект (remote);Москва;360000;От 3 до 6 лет;javascript
Frontend Developer Middle JavaScript / Vue;Москва;120000;От 3 до 6 лет;javascript
Разработчик PHP + JS;Москва;0;От 1 года до 3 лет;javascript
JavaScript Developer specialist (Junior);Москва;120000;От 1 года до 3 лет;javascript
Javascript-разработчик;Ярославль;0;Нет опыта;javascript
Middle Frontend Developer (Vue.js);Москва;0;От 3 до 6 лет;javascript
JavaScript разработчик (Middle+) gamedev;Москва;120000;От 3 до 6 лет;javascript
Frontend developer (Vue.js);Москва;0;От 3 до 6 лет;javascript
Веб-разработчик / Web-программист (Php/JS);Хабаровск;0;От 1 года до 3 лет;javascript
JavaScript программист (Наставник онлайн-курса по JS);Москва;80000;От 1 года до 3 лет;javascript
Разработчик React.js;Брянск;0;От 3 до 6 лет;javascript
Программист JavaScript;Пенза;80000;От 1 года до 3 лет;javascript
Инженер-программист/Fullstack web-разработчик (PHP/JAVASCRIPT);Москва;0;От 3 до 6 лет;javascript
Middle Front-end Developer (Vue.js);Ростов-на-Дону;0;От 1 года до 3 лет;javascript
Программист JavaScript, Python;Майкоп;60000;От 1 года до 3 лет;javascript
Frontend-разработчик (Vue.js);Оренбург;0;От 1 года до 3 лет;javascript
Fullstack Web-разработчик PHP, JS (jQuery);Уфа;100000;От 3 до 6 лет;javascript
Разработчик Web приложений ( PHP/JS/CSS );Москва;0;От 3 до 6 лет;javascript
JavaScript / WebGL разработчик;Санкт-Петербург;0;От 1 года до 3 лет;javascript
Middle JavaScript Developer;Новосибирск;110000;От 3 до 6 лет;javascript
Middle node.js (strapi) developer;Москва;180000;От 1 года до 3 лет;javascript
Frontend-разработчик на Vue.js;Москва;0;От 1 года до 3 лет;javascript
Разработчик на JavaScript (Frontend);Москва;0;От 1 года до 3 лет;javascript
Fullstack JavaScript Developer;Томск;0;От 1 года до 3 лет;javascript
Frontend программист (JavaScript);Москва;90000;От 1 года до 3 лет;javascript
Fullstack разработчик PHP/JS;Москва;280000;От 3 до 6 лет;javascript
JavaScript/ TypeScript Developer;Ростов-на-Дону;120000;От 1 года до 3 лет;javascript
Разработчик JavaScript;Воронеж;0;От 1 года до 3 лет;javascript
Веб - разработчи‎к (PHP/JS);Ижевск;0;От 3 до 6 лет;javascript
JavaScript разработчик (Middle+) в gamedev;Санкт-Петербург;120000;От 3 до 6 лет;javascript
Javascript Developer, Разработка на Javascript;Нижний Новгород;0;Нет опыта;javascript
Fullstack-разработчик (Node.js+Vue.js);Москва;0;От 1 года до 3 лет;javascript
PHP / JS / Laravel Senior разработчик (Full Stack);Санкт-Петербург;200000;От 3 до 6 лет;javascript
Разработчик Terrasoft Creatio (С# / JavaScript);Москва;0;От 1 года до 3 лет;javascript
Frontend developer/Javascript-разработчик (vue.js);Москва;140000;От 1 года до 3 лет;javascript
Разработчик-репетитор на курсы по «JavaScript. Архитектура клиентских приложений»;Санкт-Петербург;30000;От 1 года до 3 лет;javascript
Fullstack Javascript Developer;Москва;220000;От 1 года до 3 лет;javascript
Разработчик-репетитор на курсы по Node.js;Санкт-Петербург;40000;От 1 года до 3 лет;javascript
Backend разработчик Node.js;Москва;0;От 3 до 6 лет;javascript
Middle Frontend Developer (Vue.js);Москва;200000;От 3 до 6 лет;javascript
Middle React разработчик (Javascript Developer);Краснодар;120000;От 1 года до 3 лет;javascript
Node.js fullstack developer (middle+);Санкт-Петербург;200000;От 1 года до 3 лет;javascript
Junior Web-программист (PHP+Vue.js);Санкт-Петербург;110000;От 1 года до 3 лет;javascript
Fullstack программист (Javascript , PHP);Санкт-Петербург;90000;От 1 года до 3 лет;javascript
Fullstack разработчик на JS, PHP;Москва;160000;От 3 до 6 лет;javascript
Middle JavaScript-developer;Воронеж;200000;От 3 до 6 лет;javascript
Senior Front-end developer (React.js);Москва;300000;От 3 до 6 лет;javascript
Front-end / JavaScript разработчик;Москва;0;От 3 до 6 лет;javascript
Middle/Senior Javascript developer;Москва;0;От 3 до 6 лет;javascript
JavaScript разработчик;Нижний Новгород;0;От 3 до 6 лет;javascript
Node.js разработчик;Санкт-Петербург;0;От 1 года до 3 лет;javascript
Front-end (JS) - стажер;Омск;0;Нет опыта;javascript
Ведущий разработчик JavaScript (Senior);Москва;0;От 3 до 6 лет;javascript
Node.js бэкенд разработчик / Node.js Backend Developer;Москва;250000;От 3 до 6 лет;javascript
Старший разработчик frontend JavaScript [RTM];Москва;0;От 1 года до 3 лет;javascript
Frontend-разработчик (JavaScript, React);Москва;150000;От 3 до 6 лет;javascript
Frontend-разработчик Vue.js;Екатеринбург;130000;От 1 года до 3 лет;javascript
Middle full-stack developer PHP/Javascript;Санкт-Петербург;150000;От 3 до 6 лет;javascript
Junior Fullstack Developer (React+Node.js);Таганрог;30000;От 1 года до 3 лет;javascript
Ведущий разработчик .NET/JS (удаленно);Москва;180000;От 3 до 6 лет;javascript
Ментор JavaScript со знанием английского языка;Москва;80000;Нет опыта;javascript
Web разработчик (PHP,JavaScript);Санкт-Петербург;0;От 1 года до 3 лет;javascript
Senior JS-разработчик (Angular);Москва;250000;От 3 до 6 лет;javascript
Tech lead developer (Middle+ / Senior Backend (php) / Frontend (js) / Full-stack developer;Москва;300000;Более 6 лет;javascript
Разработчик JavaScript (React.js) Middle;Москва;0;От 3 до 6 лет;javascript
Веб-программист (Senior Fullstack PHP+Laravel+Vue.js);Владивосток;190000;От 1 года до 3 лет;javascript
Fullstack JavaScript developer;Санкт-Петербург;0;От 1 года до 3 лет;javascript
Senior JS developer (удаленно);Москва;0;Более 6 лет;javascript
Developer ELMA 365 (JavaScript);Москва;0;От 1 года до 3 лет;javascript
Senior JavaScript (Angular)-developer;Псков;400000;От 3 до 6 лет;javascript
Разработчик JavaScript (React);Москва;0;От 3 до 6 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Екатеринбург;250000;От 3 до 6 лет;javascript
Web Developer, Fullstack, Vue.js.;Волгоград;0;От 1 года до 3 лет;javascript
Middle Fullstack разработчик (php + vue js);Москва;150000;От 3 до 6 лет;javascript
Fullstack-разработчик (.Net, JavaScript, React);Пермь;150000;От 3 до 6 лет;javascript
Fullstack-developer / Fullstack-разработчик (php/js);Воронеж;200000;От 1 года до 3 лет;javascript
Fullstack Developer (PHP, Javascript);Краснодар;0;От 3 до 6 лет;javascript
Middle-Senior Full-stack Node.js разработчик в хайлоад проект (remote);Москва;200000;От 3 до 6 лет;javascript
Fullstack JavaScript;Москва;200000;От 1 года до 3 лет;javascript
Middle Frontend Developer (Vue.js);Казань;200000;От 3 до 6 лет;javascript
Разработчик на JavaScript + PHP;Москва;0;От 1 года до 3 лет;javascript
Стажер-разработчик Node.js;Москва;0;Нет опыта;javascript
Разработчик Vue.js;Санкт-Петербург;0;От 1 года до 3 лет;javascript
Senior fullstack javascript developer;Москва;0;От 3 до 6 лет;javascript
Front-end developer/Разработчик JS, React, Next.js;Нижний Новгород;0;От 1 года до 3 лет;javascript
Разработчик JavaScript;Мытищи;160000;От 3 до 6 лет;javascript
Middle Fullstack: TypeScript, Angular, Node.js разработчик (удаленная работа);Санкт-Петербург;350000;От 3 до 6 лет;javascript
Преподаватель курса Javascript (frontend разработка);Санкт-Петербург;50000;От 1 года до 3 лет;javascript
Front-end разработчик на React.js;Санкт-Петербург;0;От 3 до 6 лет;javascript
Javascript разработчик (React Native);Санкт-Петербург;0;От 1 года до 3 лет;javascript
Программист JavaScript;Москва;0;От 3 до 6 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Челябинск;250000;От 3 до 6 лет;javascript
Junior Web-программист (PHP+Vue.js);Москва;130000;Нет опыта;javascript
JavaScript /TypeScript developer;Ростов-на-Дону;120000;От 1 года до 3 лет;javascript
Frontend-разработчик (Vue.js);Москва;0;От 3 до 6 лет;javascript
Разработчик JavaScript;Москва;0;От 3 до 6 лет;javascript
Front-end разработчик Vue.js (в офисе);Москва;200000;От 3 до 6 лет;javascript
Junior Frontend-разработчик (Vue.js);Санкт-Петербург;100000;От 1 года до 3 лет;javascript
Javascript frontend developer (Middle / Senior);Петрозаводск;150000;От 1 года до 3 лет;javascript
Программист JavaScript (middle);Краснодар;180000;От 1 года до 3 лет;javascript
Программист JavaScript (middle);Санкт-Петербург;0;От 1 года до 3 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Тула;250000;От 3 до 6 лет;javascript
JavaScript разработчик;Москва;0;От 3 до 6 лет;javascript
Web-программист JS;Омск;100000;От 1 года до 3 лет;javascript
Frontend Developer / Vue.js (Middle);Санкт-Петербург;170000;От 1 года до 3 лет;javascript
Fullstack-developer / Fullstack-разработчик (php/js);Москва;200000;От 1 года до 3 лет;javascript
Разработчик JavaScript;Москва;0;От 3 до 6 лет;javascript
Frontend JavaScript Developer / Vue.js;Москва;0;От 1 года до 3 лет;javascript
Front-end developer for US company (JS, HTML, CSS);Москва;120000;От 3 до 6 лет;javascript
Senior JavaScript (Angular)-developer (remote);Белгород;400000;Более 6 лет;javascript
Frontend разработчик (C# + vue.js);Санкт-Петербург;160000;От 1 года до 3 лет;javascript
Senior JavaScript Developer (Remote) / Старший JavaScript разработчик (удаленно);Москва;0;От 3 до 6 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Воронеж;250000;От 3 до 6 лет;javascript
Frontend developer (3D, JavaScript, TypeScript);Омск;0;От 1 года до 3 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Казань;250000;От 3 до 6 лет;javascript
JavaScript Frontend (CMS);Москва;0;От 3 до 6 лет;javascript
Ведущий инженер-программист (JavaScript React);Нижний Новгород;0;От 3 до 6 лет;javascript
JavaScript программист;Краснодар;60000;От 1 года до 3 лет;javascript
Frontend разработчик (C# + vue.js);Екатеринбург;160000;От 1 года до 3 лет;javascript
Frontend-разработчик (JavaScript);Москва;80000;От 3 до 6 лет;javascript
"Проверяющий преподаватель по курсу ""Node.js""";Москва;0;От 1 года до 3 лет;javascript
Middle Full Stack Developer JS (React, Node) удаленно, Дубай;Москва;200000;От 3 до 6 лет;javascript
JavaScript Developer;Москва;0;От 3 до 6 лет;javascript
Node.js, TypeScript разработчик;Йошкар-Ола;50000;От 1 года до 3 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Пермь;250000;От 3 до 6 лет;javascript
Backend разработчик (Node.js);Санкт-Петербург;160000;От 1 года до 3 лет;javascript
Fullstack JS разработчик;Самара;0;От 1 года до 3 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Уфа;250000;От 3 до 6 лет;javascript
JavaScript Game Developer;Москва;0;От 1 года до 3 лет;javascript
Frontend Developer/Vue.js (Middle);Москва;190000;От 3 до 6 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Омск;250000;От 3 до 6 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Тюмень;250000;От 3 до 6 лет;javascript
Senior JavaScript (Angular)-developer;Воронеж;400000;От 3 до 6 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Великий Новгород;250000;От 3 до 6 лет;javascript
Программист JS;Уфа;220000;От 1 года до 3 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Курган;250000;От 3 до 6 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Псков;250000;От 3 до 6 лет;javascript
JavaScript Developer (Senior frontend-разработчик);Москва;300000;От 3 до 6 лет;javascript
Frontend developer (JavaScript / Angular);Санкт-Петербург;150000;От 1 года до 3 лет;javascript
Разработчик Node.js;Санкт-Петербург;0;От 1 года до 3 лет;javascript
JavaScript/PHP Fullstack Developer;Москва;0;От 1 года до 3 лет;javascript
Программист TypeScript, JS, PostgreSQL;Москва;280000;От 1 года до 3 лет;javascript
"JavaScript developer (автор-лектор курса ""JavaScript про API браузеров"")";Москва;0;От 3 до 6 лет;javascript
Программист JS;Рыбинск;220000;От 1 года до 3 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Самара;250000;От 3 до 6 лет;javascript
Программист JS;Новосибирск;215000;От 1 года до 3 лет;javascript
Middle JavaScript developer/Разработчик;Москва;0;От 1 года до 3 лет;javascript
Разработчик JavaScript/TypeScript (back-end);Нижний Новгород;0;От 1 года до 3 лет;javascript
Frontend Developer/Vue.js (Middle);Уфа;150000;От 3 до 6 лет;javascript
Frontend-разработчик Vue.js (Удаленно);Москва;150000;От 1 года до 3 лет;javascript
Senior/Middle Software Engineer (PHP, Javascript);Рязань;250000;От 3 до 6 лет;javascript
Программист JS;Тюмень;220000;От 1 года до 3 лет;javascript
Senior Frontend разработчик (React.js);Москва;300000;От 3 до 6 лет;javascript
Разработчик Javascript, Инструменты поддержки, CRM для контрагентов;Москва;0;От 1 года до 3 лет;javascript
Программист JS;Екатеринбург;220000;От 1 года до 3 лет;javascript
Инженер по автоматизации (JavaScript);Омск;0;От 3 до 6 лет;javascript
Fullstack разработчик (PHP/JavaScript);Москва;220000;От 3 до 6 лет;javascript
Front end Javascript developer;Казань;120000;От 1 года до 3 лет;javascript
Backend разработчик (Node.js);Москва;160000;От 1 года до 3 лет;javascript
Инженер по автоматизации (JavaScript);Пенза;0;От 1 года до 3 лет;javascript
Middle Frontend Developer (JavaScript, React);Санкт-Петербург;160000;От 1 года до 3 лет;javascript
Frontend-разработчик (Vue.js);Москва;0;От 1 года до 3 лет;javascript
Full-stack разработчик (Node.JS + Angular / middle / senior);Москва;250000;От 3 до 6 лет;javascript
Инженер по автоматизации (JavaScript);Воронеж;0;От 3 до 6 лет;javascript
Инженер-программист (Frontend JavaScript);Москва;0;От 3 до 6 лет;javascript
Fullstack-developer / Fullstack-разработчик (php/js);Санкт-Петербург;200000;От 1 года до 3 лет;javascript
Инженер по автоматизации (JavaScript);Ульяновск;0;От 1 года до 3 лет;javascript
Программист JS;Кострома;215000;От 1 года до 3 лет;javascript
Backend JavaScript developer (senior);Москва;240000;От 3 до 6 лет;javascript
Senior Node.js разработчик;Москва;300000;От 3 до 6 лет;javascript
Frontend-разработчик (Программист JavaScript, Vue.Js);Санкт-Петербург;0;От 1 года до 3 лет;javascript
"Frontend-разработчик (Vue.js) (ООО ""СОФТТЕЛЕМАТИКА"")";Москва;0;От 3 до 6 лет;javascript
Инженер по автоматизации (JavaScript);Тверь;0;От 1 года до 3 лет;javascript
Веб-разработчик /веб-программист (JavaScript разработчик);Казань;0;От 1 года до 3 лет;javascript
Программист PHP/JavaScript;Москва;0;От 1 года до 3 лет;javascript
Middle JavaScript-developer;Белгород;200000;От 3 до 6 лет;javascript
Middle Fullstack Developer React.js/Node.js;Санкт-Петербург;150000;От 3 до 6 лет;javascript
Frontend разработчик (Next.JS);Москва;350000;От 3 до 6 лет;javascript
Мiddle Node.js разработчик;Тюмень;100000;От 1 года до 3 лет;javascript
Node.js / React разработчик;Тюмень;120000;От 1 года до 3 лет;javascript
Full stack разработчик (PHP, JS);Санкт-Петербург;180000;От 3 до 6 лет;javascript
Frontend-разработчик (React, Javascript);Уфа;0;От 1 года до 3 лет;javascript
Ведущий фронтенд (frontend) разработчик/программист (JS, PHP, web);Санкт-Петербург;180000;От 3 до 6 лет;javascript
Middle Fullstack: TypeScript, Angular, Node.js разработчик;Екатеринбург;350000;От 3 до 6 лет;javascript
Разработчик (JS);Москва;0;Нет опыта;javascript
Fullstack Developer, Удаленно (React.JS + NodeJS);Казань;0;От 1 года до 3 лет;javascript
Ведущий JS-программист;Уфа;240000;От 3 до 6 лет;javascript
Junior Web-программист(PHP+Vue.js);Новосибирск;110000;От 1 года до 3 лет;javascript
Middle Full-Stack JavaScript разработчик (инженер - программист);Санкт-Петербург;100000;От 1 года до 3 лет;javascript
Senior Fullstack Javascript Developer;Москва;0;От 3 до 6 лет;javascript
JS fullstack разработчик;Москва;300000;Более 6 лет;javascript
Разработчик Node.JS;Санкт-Петербург;250000;От 3 до 6 лет;javascript
Middle Frontend разработчик Vue.js;Санкт-Петербург;200000;От 1 года до 3 лет;javascript
FullStack разработчик (PHP, Javascript);Москва;0;От 1 года до 3 лет;javascript
TL JavaScript / Руководитель группы разработки JS;Екатеринбург;0;От 3 до 6 лет;javascript
Senior Node.js Backend developer (Remote/ Удалённо);Москва;350000;От 3 до 6 лет;javascript
Разработчик Node.JS;Москва;250000;От 3 до 6 лет;javascript
Fullstack Developer, Удаленно (React.JS + NodeJS);Екатеринбург;0;От 1 года до 3 лет;javascript
Full-stack разработчик (Java, JavaScript, React);Ижевск;0;От 1 года до 3 лет;javascript
Middle Frontend-разработчик JavaScript (Vue.js). Аккредитованная IT компания;Екатеринбург;120000;От 1 года до 3 лет;javascript
Frontend-developer React.js (middle / senior);Нижний Новгород;0;От 3 до 6 лет;javascript
Fullstack Bitrix/PHP/JS разработчик;Москва;130000;От 3 до 6 лет;javascript
